asset,symbol,latest_close,signal,signal_idx,confidence,atr14,portfolio_weight,outlier_flagged,top_features
EUR/USD,EURUSD=X,1.0407993793487549,SELL,1,0.9902585744857788,0.001390834804624319,0.2660478070440599,False,"['Volume_MA20 = 0.0000 -> +0.4236 (pushed SELL ↑)', 'Open = 1.0407 -> +0.2439 (pushed SELL ↑)', 'MA50 = 1.0421 -> +0.1685 (pushed SELL ↑)', 'MACD_Signal = -0.0005 -> -0.0524 (pulled away from SELL ↓)', 'MA200 = 1.0414 -> -0.0524 (pulled away from SELL ↓)']"
GBP/USD,GBPUSD=X,1.2548940181732178,SELL,1,0.9994142055511475,0.0017083061393350363,0.21863738783373168,False,"['Low = 1.2541 -> +0.3318 (pushed SELL ↑)', 'Volume_MA20 = 0.0000 -> +0.3262 (pushed SELL ↑)', 'MA20 = 1.2562 -> +0.0622 (pushed SELL ↑)', 'Avg_Price = 1.2549 -> +0.0239 (pushed SELL ↑)', 'RSI14 = 46.8020 -> -0.0117 (pulled away from SELL ↓)']"
XRP-USD,XRP-USD,2.3576176166534424,BUY,0,0.9454367756843567,0.06624540686607361,0.010673305096766204,False,"['RSI14 = 34.4418 -> +0.1364 (pushed BUY ↑)', 'Volume_MA20 = 65729843.2000 -> +0.0944 (pushed BUY ↑)', 'Close = 2.3576 -> +0.0751 (pushed BUY ↑)', 'Bollinger_Upper = 2.7330 -> +0.0603 (pushed BUY ↑)', 'High = 2.3826 -> +0.0491 (pushed BUY ↑)']"
Silver,SI=F,29.325000762939453,BUY,0,0.999993085861206,0.11597124487161636,0.006448692868793539,False,"['MA100 = 30.0750 -> -0.1615 (pulled away from BUY ↓)', 'Open = 29.3000 -> +0.1213 (pushed BUY ↑)', 'MA200 = 30.1793 -> +0.1213 (pushed BUY ↑)', 'RSI14 = 28.1328 -> +0.1120 (pushed BUY ↑)', 'MACD_Signal = -0.1717 -> +0.1104 (pushed BUY ↑)']"
Natural Gas,NG=F,4.005000114440918,BUY,0,0.9999680519104004,0.08242528140544891,0.0022682409465617486,False,"['RSI14 = 61.7401 -> +0.2789 (pushed BUY ↑)', 'Avg_Price = 3.9770 -> -0.1754 (pulled away from BUY ↓)', 'MACD_Signal = 0.0467 -> +0.1053 (pushed BUY ↑)', 'MA20 = 3.9045 -> +0.1023 (pushed BUY ↑)', 'MA200 = 3.6022 -> +0.0786 (pushed BUY ↑)']"
Crude Oil,CL=F,71.6500015258789,BUY,0,0.9966307282447815,0.2520909309387207,0.0007391695997420267,False,"['High = 71.6800 -> +0.4025 (pushed BUY ↑)', 'Low = 71.3200 -> +0.1075 (pushed BUY ↑)', 'MACD_Signal = 0.2369 -> +0.1075 (pushed BUY ↑)', 'Open = 71.3300 -> -0.1073 (pulled away from BUY ↓)', 'RSI14 = 70.4659 -> -0.1073 (pulled away from BUY ↓)']"
NVIDIA,NVDA,137.41000366210938,SELL,1,0.9988677501678467,1.6124898195266724,0.00023163783926689725,False,"['Volume_MA20 = 18489863.3000 -> +0.2822 (pushed SELL ↑)', 'Close = 137.4100 -> +0.2822 (pushed SELL ↑)', 'Avg_Price = 138.0538 -> +0.0701 (pushed SELL ↑)', 'MACD = 0.3402 -> +0.0581 (pushed SELL ↑)', 'MA100 = 135.7532 -> +0.0293 (pushed SELL ↑)']"
Tesla,TSLA,357.92999267578125,BUY,0,0.9999167919158936,3.8924357891082764,0.00019211932542446072,False,"['MA200 = 309.1305 -> +0.1456 (pushed BUY ↑)', 'RSI14 = 64.1950 -> +0.1277 (pushed BUY ↑)', 'MACD = 2.5859 -> +0.1181 (pushed BUY ↑)', 'MACD_Signal = 2.3871 -> +0.0606 (pushed BUY ↑)', 'MA20 = 353.0653 -> +0.0440 (pushed BUY ↑)']"
Microsoft,MSFT,424.82000732421875,BUY,0,0.9999867677688599,2.713529586791992,0.00013780288067900248,False,"['RSI14 = 35.3920 -> -0.2610 (pulled away from BUY ↓)', 'MA20 = 430.7571 -> +0.2194 (pushed BUY ↑)', 'ATR14 = 2.6726 -> +0.1659 (pushed BUY ↑)', 'Volume = 1439050.0000 -> +0.1455 (pushed BUY ↑)', 'MA200 = 436.1776 -> +0.1146 (pushed BUY ↑)']"
Apple,AAPL,252.1199951171875,SELL,1,0.9991924166679382,1.3761037588119507,0.00013575830320625235,False,"['Open = 252.7300 -> +0.3112 (pushed SELL ↑)', 'Volume = 3863755.0000 -> +0.2450 (pushed SELL ↑)', 'Low = 252.0400 -> +0.2289 (pushed SELL ↑)', 'MA100 = 251.4443 -> -0.1426 (pulled away from SELL ↓)', 'ATR14 = 1.3492 -> +0.0605 (pushed SELL ↑)']"
